CEPI,CEPF,PRAZO(DIAS ÚTEIS),FRETE TOTAL MÍNIMO,10.000,20.000,30.000,50.000,75.000,100.000,VALOR EXCEDENTE,FRETE VALOR SOBRE A NOTA(%),TAS VALOR FIXO,SEGURO FLUVIAL MÍNIMO,SEGURO FLUVIAL(%),PEDÁGIO VALOR FIXO,PEDÁGIO FRAÇÃO A CADA x KG,SEGURO(%),OUTRA TAXA MÍNIMO,OUTRA TAXA(%),GRIS MÍNIMO,GRIS(%),TDE MÍNIMO,TDE MÁXIMO,TDE(%),CTE VALOR FIXO
7000001,7399999,3,,"24,19","28,42","33,52","42,81","59,11","80,55","0,88",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
7400001,7499999,4,,"24,19","28,42","33,52","42,81","59,11","80,55","0,88",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
7500000,7599999,4,,"24,19","28,42","33,52","42,81","59,11","80,55","0,88",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
7600001,7699999,5,,"24,19","28,42","33,52","42,81","59,11","80,55","0,88",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
7700001,7749999,3,,"24,19","28,42","33,52","42,81","59,11","80,55","0,88",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
7750001,7799999,3,,"24,19","28,42","33,52","42,81","59,11","80,55","0,88",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
7800001,7899999,3,,"24,19","28,42","33,52","42,81","59,11","80,55","0,88",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
7900001,7999999,3,,"24,19","28,42","33,52","42,81","59,11","80,55","0,88",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
8000000,8499999,3,,"24,19","28,42","33,52","42,81","59,11","80,55","0,88",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
8500001,8549999,3,,"24,19","28,42","33,52","42,81","59,11","80,55","0,88",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
8550001,8569999,4,,"24,19","28,42","33,52","42,81","59,11","80,55","0,88",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
8570001,8599999,4,,"24,19","28,42","33,52","42,81","59,11","80,55","0,88",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
8600001,8699999,4,,"24,19","28,42","33,52","42,81","59,11","80,55","0,88",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
8700001,8899999,4,,"24,19","28,42","33,52","42,81","59,11","80,55","0,88",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
8900000,8939999,11,,"30,56","35,9","42,34","54,07","74,66","103,23","1,11",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
8940000,8969999,6,,"24,19","28,42","33,52","42,81","59,11","80,55","0,88",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
8970000,8999999,6,,"24,19","28,42","33,52","42,81","59,11","80,55","0,88",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
9000001,9299999,3,,"24,19","28,42","33,52","42,81","59,11","80,55","0,88",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
9300001,9399999,4,,"24,19","28,42","33,52","42,81","59,11","80,55","0,88",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
9400001,9449999,4,,"24,19","28,42","33,52","42,81","59,11","80,55","0,88",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
9450000,9499999,6,,"24,19","28,42","33,52","42,81","59,11","80,55","0,88",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
9500001,9599999,3,,"24,19","28,42","33,52","42,81","59,11","80,55","0,88",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
9600001,9899999,3,,"24,19","28,42","33,52","42,81","59,11","80,55","0,88",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
9900001,9999999,3,,"24,19","28,42","33,52","42,81","59,11","80,55","0,88",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
11000001,11249999,6,,"37,74","44,34","52,29","66,78","92,21","127,48","1,37",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
11250001,11299999,8,,"37,74","44,34","52,29","66,78","92,21","127,48","1,37",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
11300001,11399999,6,,"37,74","44,34","52,29","66,78","92,21","127,48","1,37",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
11400001,11499999,6,,"37,74","44,34","52,29","66,78","92,21","127,48","1,37",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
