CEPI,CEPF,PRAZO(DIAS ÚTEIS),FRETE TOTAL MÍNIMO,10.000,20.000,30.000,50.000,75.000,100.000,VALOR EXCEDENTE,FRETE VALOR SOBRE A NOTA(%),GRIS MÍNIMO,GRIS(%),PEDÁGIO VALOR FIXO,PEDÁGIO FRAÇÃO A CADA x KG,TAS VALOR FIXO,TRT VALOR FIXO,TDE MÍNIMO,TDE MÁXIMO,TDE(%),TDA(%),ENTREGA VALOR FIXO
12170000,12179999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12180000,12199999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12200000,12248999,7,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12250000,12259999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12260000,12269999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12270000,12279999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12280001,12299999,9,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12300001,12349999,7,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12350000,12379999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12380000,12399999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12400001,12449999,9,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12450000,12459999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12460000,12489999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12490000,12499999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12500001,12524999,8,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12525000,12529999,9,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12530000,12569999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12570000,12579999,8,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12580000,12599999,9,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12600001,12614999,8,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12615000,12619999,9,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12620000,12629999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12630000,12689999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12690000,12699999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12700001,12759999,9,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12760000,12799999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12800000,12819999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12820000,12829999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12830000,12849999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12850000,12869999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12870000,12899999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12900001,12929999,7,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12930000,12934999,9,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12935000,12939999,6,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12940001,12954999,7,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12955000,12959999,9,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12960000,12969999,9,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12970000,12979999,9,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12980000,12989999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12990000,12994999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
12995000,12999999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13000001,13139999,6,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13140001,13149999,6,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13150001,13159999,6,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13160000,13164999,6,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13165000,13169999,6,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13170001,13182999,6,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13183001,13189999,6,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13190001,13199999,6,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
